starting gradient descent at b=0.000000000, m=0.000000000, error=5565.107834483
Running...
After 0 iterations, b=0.014547010, m=0.737070297, error=1484.586557409
After 100 iterations, b=0.035135020, m=1.478801537, error=112.647020570
After 200 iterations, b=0.041137675, m=1.478683557, error=112.643416004
After 300 iterations, b=0.047135802, m=1.478565666, error=112.639816876
After 400 iterations, b=0.053129403, m=1.478447863, error=112.636223176
After 500 iterations, b=0.059118482, m=1.478330150, error=112.632634897
After 600 iterations, b=0.065103042, m=1.478212525, error=112.629052031
After 700 iterations, b=0.071083086, m=1.478094989, error=112.625474570
After 800 iterations, b=0.077058619, m=1.477977542, error=112.621902504
After 900 iterations, b=0.083029644, m=1.477860183, error=112.618335827
After 1000 iterations, b=0.088936520, m=1.477744085, error=112.614810116
